date,TLT_close,IEF_close,SHY_close
2015-07-07,119.26,105.69,84.89
2015-07-08,120.29,106.11,84.98
2015-07-09,117.92,105.37,84.92
2015-07-10,116.05,104.64,84.84
2015-07-13,115.69,104.36,84.8
2015-07-14,116.07,104.69,84.84
2015-07-15,117.29,105.09,84.87
2015-07-16,118.11,105.05,84.83
2015-07-17,118.72,105.06,84.81
2015-07-20,118.22,104.85,84.76
2015-07-21,118.86,105.14,84.77
2015-07-22,119.6,105.27,84.76
2015-07-23,121.09,105.7,84.77
2015-07-24,121.39,105.8,84.79
2015-07-27,122.04,106.15,84.85
2015-07-28,121.15,105.85,84.83
2015-07-29,120.74,105.7,84.81
2015-07-30,121.63,105.82,84.77
2015-07-31,122.53,106.44,84.86
2015-08-03,123.55,106.6,84.85
2015-08-04,122.57,106.05,84.72
2015-08-05,121.65,105.64,84.73
2015-08-06,122.73,106.01,84.75
2015-08-07,124.34,106.43,84.71
2015-08-10,122.8,105.99,84.71
2015-08-11,124.75,106.69,84.82
2015-08-12,124.07,106.65,84.82
2015-08-13,123.67,106.37,84.75
2015-08-14,123.96,106.26,84.71
2015-08-17,124.52,106.45,84.76
2015-08-18,123.54,106.28,84.75
2015-08-19,124.72,106.93,84.83
2015-08-20,126.02,107.22,84.8
2015-08-21,126.39,107.65,84.89
2015-08-24,126.34,107.83,84.93
2015-08-25,124.33,107.24,84.89
2015-08-26,121.9,106.58,84.84
2015-08-27,122.0,106.52,84.85
2015-08-28,122.36,106.54,84.81
2015-08-31,121.42,106.36,84.78
2015-09-01,122.03,106.67,84.77
2015-09-02,120.98,106.38,84.79
2015-09-03,121.51,106.64,84.79
2015-09-04,122.68,106.97,84.8
2015-09-08,120.87,106.5,84.77
2015-09-09,121.45,106.54,84.75
2015-09-10,120.63,106.3,84.78
2015-09-11,121.39,106.58,84.81
2015-09-14,121.58,106.68,84.79
2015-09-15,119.25,105.84,84.67
2015-09-16,118.8,105.81,84.66
2015-09-17,120.25,106.69,84.85
2015-09-18,122.1,107.19,84.89
2015-09-21,120.11,106.58,84.84
2015-09-22,121.78,107.11,84.89
2015-09-23,121.77,106.99,84.86
2015-09-24,122.6,107.15,84.91
2015-09-25,121.54,106.87,84.87
2015-09-28,123.62,107.48,84.93
2015-09-29,123.97,107.85,84.97
2015-09-30,123.54,107.87,84.99
2015-10-01,123.81,107.79,84.95
2015-10-02,124.56,108.31,85.07
2015-10-05,122.87,107.71,85.01
2015-10-06,123.4,107.93,85.0
2015-10-07,122.99,107.66,84.98
2015-10-08,121.96,107.38,84.96
2015-10-09,122.28,107.44,84.96
2015-10-12,123.21,107.8,84.94
2015-10-13,123.42,107.9,84.97
2015-10-14,124.5,108.49,85.09
2015-10-15,123.89,108.12,85.04
2015-10-16,123.93,108.03,85.0
2015-10-19,123.59,107.98,85.03
2015-10-20,122.83,107.61,84.98
2015-10-21,124.05,107.98,85.01
2015-10-22,124.26,108.09,85.04
2015-10-23,123.2,107.48,84.97
2015-10-26,124.02,107.76,84.97
2015-10-27,124.33,108.03,85.0
2015-10-28,123.83,107.47,84.89
2015-10-29,121.87,106.81,84.83
2015-10-30,122.78,107.02,84.83
2015-11-02,121.95,106.55,84.74
2015-11-03,120.95,106.27,84.73
2015-11-04,121.09,106.16,84.64
2015-11-05,120.77,106.09,84.64
2015-11-06,119.0,105.37,84.56
2015-11-09,118.33,105.19,84.54
2015-11-10,118.68,105.39,84.58
2015-11-11,118.43,105.34,84.56
2015-11-12,119.0,105.4,84.59
2015-11-13,119.68,105.8,84.66
2015-11-16,119.57,105.94,84.66
2015-11-17,119.77,105.91,84.63
2015-11-18,120.02,105.86,84.6
2015-11-19,120.82,106.09,84.58
2015-11-20,120.45,105.95,84.58
2015-11-23,120.82,106.09,84.57
2015-11-24,120.81,106.19,84.57
2015-11-25,121.09,106.25,84.58
2015-11-27,120.97,106.36,84.6
2015-11-30,121.45,106.4,84.57
2015-12-01,122.83,106.8,84.58
2015-12-02,122.87,106.5,84.51
2015-12-03,119.53,105.38,84.51
2015-12-04,120.58,105.77,84.53
2015-12-07,121.75,106.11,84.52
2015-12-08,121.81,106.17,84.51
2015-12-09,121.68,106.33,84.54
2015-12-10,121.84,106.1,84.49
2015-12-11,123.76,106.95,84.59
2015-12-14,122.16,106.16,84.49
2015-12-15,121.44,105.89,84.48
2015-12-16,121.18,105.61,84.41
2015-12-17,122.55,106.05,84.41
2015-12-18,123.23,106.43,84.52
2015-12-21,123.2,106.48,84.51
2015-12-22,122.31,106.18,84.49
2015-12-23,121.39,105.94,84.46
2015-12-24,121.83,105.97,84.45
2015-12-28,122.19,105.99,84.4
2015-12-29,120.16,105.43,84.38
2015-12-30,120.04,105.47,84.4
2015-12-31,120.58,105.59,84.36
2016-01-04,121.45,106.04,84.47
2016-01-05,120.96,106.01,84.42
2016-01-06,122.59,106.65,84.47
2016-01-07,122.81,106.88,84.5
2016-01-08,123.36,107.15,84.56
2016-01-11,122.01,106.81,84.59
2016-01-12,123.77,107.29,84.6
2016-01-13,124.99,107.71,84.65
2016-01-14,123.82,107.49,84.67
2016-01-15,125.75,107.99,84.74
2016-01-19,125.36,107.85,84.73
2016-01-20,126.68,108.38,84.79
2016-01-21,125.82,108.11,84.78
2016-01-22,125.34,107.87,84.75
2016-01-25,126.02,108.23,84.75
2016-01-26,126.08,108.31,84.79
2016-01-27,126.05,108.39,84.81
2016-01-28,126.23,108.53,84.81
2016-01-29,127.3,109.11,84.91
2016-02-01,126.67,108.7,84.82
2016-02-02,129.02,109.47,84.93
2016-02-03,127.95,109.35,84.95
2016-02-04,128.57,109.61,84.97
2016-02-05,128.72,109.75,84.95
2016-02-08,131.49,110.57,85.05
2016-02-09,131.63,110.59,85.02
2016-02-10,132.79,110.92,85.02
2016-02-11,133.72,111.43,85.1
2016-02-12,131.5,110.58,85.0
2016-02-16,130.11,110.25,84.95
2016-02-17,129.31,109.98,84.97
2016-02-18,130.9,110.49,85.04
2016-02-19,131.01,110.49,84.96
2016-02-22,130.94,110.38,84.97
2016-02-23,131.47,110.6,84.98
2016-02-24,131.21,110.6,85.0
2016-02-25,131.68,110.93,85.02
2016-02-26,130.41,110.39,84.91
2016-02-29,130.98,110.57,84.96
2016-03-01,128.43,109.55,84.8
2016-03-02,128.96,109.36,84.79
2016-03-03,129.43,109.49,84.82
2016-03-04,128.6,109.12,84.76
2016-03-07,128.56,108.9,84.7
2016-03-08,129.98,109.53,84.76
2016-03-09,129.19,109.1,84.73
2016-03-10,128.66,108.71,84.72
2016-03-11,127.36,108.4,84.64
2016-03-14,127.76,108.48,84.64
2016-03-15,127.88,108.46,84.67
2016-03-16,128.26,109.03,84.84
2016-03-17,128.79,109.15,84.83
2016-03-18,129.06,109.34,84.85
2016-03-21,128.07,109.03,84.84
2016-03-22,128.04,108.8,84.79
2016-03-23,129.49,109.3,84.84
2016-03-24,129.54,109.19,84.8
2016-03-28,129.71,109.35,84.82
2016-03-29,131.07,110.09,84.98
2016-03-30,129.69,109.94,84.99
2016-03-31,130.61,110.34,85.03
2016-04-01,130.68,110.14,84.93
2016-04-04,130.76,110.27,84.99
2016-04-05,132.19,110.71,85.02
2016-04-06,131.23,110.47,84.99
2016-04-07,132.85,111.04,85.04
2016-04-08,132.01,110.87,85.04
2016-04-11,131.84,110.85,85.03
2016-04-12,130.93,110.41,85.01
2016-04-13,131.39,110.49,84.97
2016-04-14,130.76,110.23,84.97
2016-04-15,131.88,110.56,85.03
2016-04-18,131.31,110.45,85.02
2016-04-19,130.9,110.27,84.99
2016-04-20,129.46,109.71,84.93
2016-04-21,128.69,109.53,84.91
2016-04-22,128.36,109.41,84.91
2016-04-25,127.83,109.29,84.89
2016-04-26,127.25,109.06,84.87
